re = 885
Humidity (%) = 69.00
DHT_Temperature  (C) = 23.00
Light intensity = 486.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 69.00
DHT_Temperature  (C) = 23.00
Light intensity = 507.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 64.00
DHT_Temperature  (C) = 22.00
Light intensity = 510.00
Soil Moisture = 840
Door State = Opened
Humidity (%) = 64.00
DHT_Temperature  (C) = 22.00
Light intensity = 509.00
Soil Moisture = 862
Door State = Opened
Humidity (%) = 59.00
DHT_Temperature  (C) = 22.00
Light intensity = 508.00
Soil Moisture = 860
Door State = Opened
Humidity (%) = 59.00
DHT_Temperature  (C) = 22.00
Light intensity = 503.00
Soil Moisture = 859
Door State = Opened
Humidity (%) = 55.00
DHT_Temperature  (C) = 22.00
Light intensity = 500.00
Soil Moisture = 859
Door State = Opened
Humidity (%) = 55.00
DHT_Temperature  (C) = 22.00
Light intensity = 521.00
Soil Moisture = 857
Door State = Opened
Humidity (%) = 51.00
DHT_Temperature  (C) = 22.00
Light intensity = 491.00
Soil Moisture = 856
Door State = Opened
Humidity (%) = 51.00
DHT_Temperature  (C) = 22.00
Light intensity = 506.00
Soil Moisture = 855
Door State = Closed
Humidity (%) = 48.00
DHT_Temperature  (C) = 22.00
Light intensity = 515.00
Soil Moisture = 854
Door State = Closed
Humidity (%) = 48.00
DHT_Temperature  (C) = 22.00
Light intensity = 516.00
Soil Moisture = 854
Door State = Closed
Humidity (%) = 45.00
DHT_Temperature  (C) = 22.00
Light intensity = 515.00
Soil Moisture = 853
Door State = Closed
Humidity (%) = 45.00
DHT_Temperature  (C) = 22.00
Light intensity = 514.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 43.00
DHT_Temperature  (C) = 22.00
Light intensity = 514.00
Soil Moisture = 853
Door State = Closed
Humidity (%) = 43.00
DHT_Temperature  (C) = 22.00
Light intensity = 513.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 41.00
DHT_Temperature  (C) = 22.00
Light intensity = 509.00
Soil Moisture = 853
Door State = Closed
Humidity (%) = 41.00
DHT_Temperature  (C) = 22.00
Light intensity = 510.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 39.00
DHT_Temperature  (C) = 22.00
Light intensity = 512.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 39.00
DHT_Temperature  (C) = 22.00
Light intensity = 511.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 38.00
DHT_Temperature  (C) = 22.00
Light intensity = 511.00
Soil Moisture = 851
Door State = Closed
Humidity (%) = 38.00
DHT_Temperature  (C) = 22.00
Light intensity = 511.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 37.00
DHT_Temperature  (C) = 22.00
Light intensity = 511.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 37.00
DHT_Temperature  (C) = 22.00
Light intensity = 511.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 35.00
DHT_Temperature  (C) = 22.00
Light intensity = 511.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 35.00
DHT_Temperature  (C) = 22.00
Light intensity = 512.00
Soil Moisture = 853
Door State = Closed
Humidity (%) = 35.00
DHT_Temperature  (C) = 22.00
Light intensity = 514.00
Soil Moisture = 853
Door State = Closed
Humidity (%) = 35.00
DHT_Temperature  (C) = 22.00
Light intensity = 515.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 33.00
DHT_Temperature  (C) = 22.00
Light intensity = 517.00
Soil Moisture = 852
Door State = Closed
Humidity (%) = 33.00
DHT_Temperature  (C) = 22.00
Light intensity = 516.00
Soil Moisture = 853
Door State = Opened
Humidity (%) = 33.00
DHT_Temperature  (C) = 22.00
Light intensity = 498.00
Soil Moisture = 853
Door State = Opened
Humidity (%) = 33.00
DHT_Temperature  (C) = 22.00
Light intensity = 452.00
Soil Moisture = 854
Door State = Opened
Humidity (%) = 32.00
DHT_Temperature  (C) = 22.00
Light intensity = 505.00
Soil Moisture = 854
Door State = Opened
Humidity (%) = 32.00
DHT_Temperature  (C) = 22.00
Light intensity = 531.00
Soil Moisture = 853
Door State = Opened
Humidity (%) = 30.00
DHT_Temperature  (C) = 22.00
Light intensity = 535.00
Soil Moisture = 853
Door State = Opened
Humidity (%) = 30.00
DHT_Temperature  (C) = 22.00
Light intensity = 537.00
Soil Moisture = 854
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 22.00
Light intensity = 533.00
Soil Moisture = 105
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 22.00
Light intensity = 531.00
Soil Moisture = 245
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 22.00
Light intensity = 530.00
Soil Moisture = 914
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 22.00
Light intensity = 531.00
Soil Moisture = 905
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 22.00
Light intensity = 533.00
Soil Moisture = 906
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 22.00
Light intensity = 537.00
Soil Moisture = 906
Door State = Opened
Humidity (%) = 28.00
DHT_Temperature  (C) = 22.00
Light intensity = 538.00
Soil Moisture = 906
Door State = Opened
Humidity (%) = 28.00
DHT_Temperature  (C) = 22.00
Light intensity = 541.00
Soil Moisture = 906
Door State = Opened
Humidity (%) = 27.00
DHT_Temperature  (C) = 22.00
Light intensity = 541.00
Soil Moisture = 906
Door State = Opened
Humidity (%) = 27.00
DHT_Temperature  (C) = 22.00
Light intensity = 541.00
Soil Moisture = 906
Door State = Opened
Humidity (%) = 27.00
DHT_Temperature  (C) = 22.00
Light intensity = 541.00
Soil Moisture = 905
Door State = Opened
Humidity (%) = 27.00
DHT_Temperature  (C) = 22.00
Light intensity = 541.00
Soil Moisture = 905
Door State = Opened
Humidity (%) = 26.00
DHT_Temperature  (C) = 22.00
Light intensity = 540.00
Soil Moisture = 905
Door State = Opened
Humidity (%) = 26.00
DHT_Temperature  (C) = 22.00
Light intensity = 535.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 26.00
DHT_Temperature  (C) = 22.00
Light intensity = 534.00
Soil Moisture = 811
Door State = Opened
Humidity (%) = 26.00
DHT_Temperature  (C) = 22.00
Light intensity = 534.00
Soil Moisture = 868
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 534.00
Soil Moisture = 871
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 536.00
Soil Moisture = 874
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 539.00
Soil Moisture = 874
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 540.00
Soil Moisture = 875
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 536.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 534.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 533.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 22.00
Light intensity = 533.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 23.00
Light intensity = 531.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 23.00
Light intensity = 532.00
Soil Moisture = 742
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 23.00
Light intensity = 533.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 23.00
Light intensity = 535.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 23.00
Light intensity = 534.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 23.00
Light intensity = 534.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 539.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 539.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 538.00
Soil Moisture = 75
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 537.00
Soil Moisture = 98
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 537.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 535.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 537.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 543.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 499.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 23.00
DHT_Temperature  (C) = 23.00
Light intensity = 517.00
Soil Moisture = 149
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 514.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 81
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 48
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 22.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 514.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 18
Door State = Closed
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 513.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 486.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 464.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 464.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 21.00
DHT_Temperature  (C) = 23.00
Light intensity = 468.00
Soil Moisture = 138
Door State = Opened
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 482.00
Soil Moisture = 146
Door State = Opened
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 207
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 517.00
Soil Moisture = 100
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 518.00
Soil Moisture = 136
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 518.00
Soil Moisture = 110
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 517.00
Soil Moisture = 123
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 518.00
Soil Moisture = 101
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 518.00
Soil Moisture = 121
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 108
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 518.00
Soil Moisture = 154
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 109
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 160
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 116
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 164
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 115
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 115
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 163
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 119
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 116
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 121
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 119
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 168
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 120
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 171
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 121
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 170
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 172
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 520.00
Soil Moisture = 110
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 121
Door State = Closed
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 513.00
Soil Moisture = 120
Door State = Opened
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 501.00
Soil Moisture = 176
Door State = Opened
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 443.00
Soil Moisture = 166
Door State = Opened
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 507.00
Soil Moisture = 119
Door State = Opened
Humidity (%) = 20.00
DHT_Temperature  (C) = 23.00
Light intensity = 508.00
Soil Moisture = 125
Door State = Opened
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 533.00
Soil Moisture = 124
Door State = Opened
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 533.00
Soil Moisture = 170
Door State = Opened
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 537.00
Soil Moisture = 119
Door State = Opened
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 502.00
Soil Moisture = 175
Door State = Opened
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 129
Door State = Closed
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 119
Door State = Closed
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 517.00
Soil Moisture = 121
Door State = Closed
Humidity (%) = 19.00
DHT_Temperature  (C) = 23.00
Light intensity = 520.00
Soil Moisture = 123
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 171
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 126
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 119
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 115
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 121
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 167
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 120
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 522.00
Soil Moisture = 168
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 116
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 517.00
Soil Moisture = 177
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 115
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 113
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 104
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 103
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 139
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 97
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 127
Door State = Closed
Humidity (%) = 18.00
DHT_Temperature  (C) = 23.00
Light intensity = 516.00
Soil Moisture = 99
Door State = Closed
Humidity (%) = 17.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
Soil Moisture = 115
Door State = Closed
Humidity (%) = 17.00
DHT_Temperature  (C) = 23.00
Light intensity = 515.00
